"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","dpct","gene","motif"
"MA1629.1",4.37539006306046e-05,0.560649094925504,0.424,0.333,0.032640409870431,0.091,"MA1629.1","Zic2"
"MA0857.1",5.59778483046427e-05,-0.672648141121805,0.36,0.438,0.0417594748352634,-0.078,"MA0857.1","Rarb"
"MA0604.1",6.2403115337419e-05,-0.199506873746976,0.664,0.782,0.0465527240417146,-0.118,"MA0604.1","Atf1"
"MA0725.1",6.43899291859238e-05,0.682674918598202,0.496,0.35,0.0480348871726991,0.146,"MA0725.1","VSX1"
"MA0726.1",6.43899291859238e-05,0.682674918598202,0.496,0.35,0.0480348871726991,0.146,"MA0726.1","VSX2"
"MA0665.1",7.28778341708496e-05,0.504448719115733,0.56,0.388,0.0543668642914538,0.172,"MA0665.1","MSC"
"MA0855.1",7.33715637633982e-05,-1.84995049844606,0.2,0.315,0.0547351865674951,-0.115,"MA0855.1","RXRB"
"MA0116.1",8.68746054342729e-05,-0.669088129474387,0.344,0.469,0.0648084556539676,-0.125,"MA0116.1","Znf423"
"MA1131.1",8.99318521863158e-05,0.568778044654437,0.64,0.479,0.0670891617309916,0.161,"MA1131.1","FOSL2::JUN(var.2)"
"MA1585.1",9.1374898885005e-05,0.402020922860843,0.752,0.637,0.0681656745682137,0.115,"MA1585.1","ZKSCAN1"
"MA0785.1",9.56086323582915e-05,0.37261653850376,0.84,0.695,0.0713240397392855,0.145,"MA0785.1","POU2F1"
"MA0913.2",0.000113682726810675,0.810805250034141,0.384,0.259,0.0848073142007633,0.125,"MA0913.2","HOXD9"
"MA0698.1",0.000127344320480865,6.02890100755419,0.216,0.15,0.0949988630787253,0.066,"MA0698.1","ZBTB18"
"MA0024.3",0.000172857534866752,-0.346266161919913,0.616,0.687,0.128951721010597,-0.0710000000000001,"MA0024.3","E2F1"
"MA0131.2",0.000178299284093603,-0.187412241321262,0.704,0.775,0.133011265933828,-0.0710000000000001,"MA0131.2","HINFP"
"MA1484.1",0.000184184431630544,0.00867751877402156,1,0.991,0.137401585996385,0.00900000000000001,"MA1484.1","ETS2"
"MA0722.1",0.000193492648923809,0.539123320005692,0.544,0.381,0.144345516097162,0.163,"MA0722.1","VAX1"
"MA0723.1",0.000193492648923809,0.539123320005692,0.544,0.381,0.144345516097162,0.163,"MA0723.1","VAX2"
"MA1481.1",0.000193492648923809,0.539123320005692,0.544,0.381,0.144345516097162,0.163,"MA1481.1","DRGX"
"MA0893.2",0.000193492648923809,0.539123320005692,0.544,0.381,0.144345516097162,0.163,"MA0893.2","GSX2"
"MA0710.1",0.000210539171761954,0.66892889868622,0.456,0.321,0.157062222134418,0.135,"MA0710.1","NOTO"
"MA0037.3",0.000223206767248766,0.418849695556862,0.752,0.621,0.166512248367579,0.131,"MA0037.3","GATA3"
"MA0909.2",0.000226744698575419,1.63918151807732,0.312,0.195,0.169151545137263,0.117,"MA0909.2","HOXD13"
"MA1127.1",0.000229240903413412,0.516284340155604,0.648,0.489,0.171013713946406,0.159,"MA1127.1","FOSB::JUN"
"MA1489.1",0.000230011186406126,0.782229249029837,0.312,0.264,0.17158834505897,0.048,"MA1489.1","FOXN3"
"MA1125.1",0.000231261491338155,-0.108626541752682,0.608,0.696,0.172521072538264,-0.088,"MA1125.1","ZNF384"
"MA1139.1",0.000239053225008008,0.53643399867333,0.656,0.516,0.178333705855974,0.14,"MA1139.1","FOSL2::JUNB(var.2)"
"MA0811.1",0.000240727784894236,1.92980829277251,0.256,0.149,0.1795829275311,0.107,"MA0811.1","TFAP2B"
"MA0871.2",0.000241292311829673,-0.38266732060485,0.44,0.584,0.180004064624936,-0.144,"MA0871.2","TFEC"
"MA1641.1",0.000293575264351655,1.55059299933157,0.312,0.194,0.219007147206335,0.118,"MA1641.1","MYF5"
"MA0009.2",0.000358615165571828,-0.161623513370854,0.856,0.905,0.267526913516584,-0.049,"MA0009.2","TBXT"
"MA0737.1",0.000364810434599408,-0.502284812078468,0.368,0.493,0.272148584211158,-0.125,"MA0737.1","GLIS3"
"MA0715.1",0.000365330808977219,0.514016113287079,0.528,0.398,0.272536783497005,0.13,"MA0715.1","PROP1"
"MA0146.2",0.000392788065419224,-1.74285047214845,0.112,0.164,0.293019896802741,-0.052,"MA0146.2","Zfx"
"MA1567.1",0.000401300366384012,-0.047565578334074,1,0.994,0.299370073322473,0.00600000000000001,"MA1567.1","TBX6"
"MA1521.1",0.000416409904335724,-1.31612480652204,0.256,0.392,0.31064178863445,-0.136,"MA1521.1","MAFA"
"MA1505.1",0.000439380394290593,0.491002544664593,0.608,0.426,0.327777774140782,0.182,"MA1505.1","HOXC8"
"MA1632.1",0.000481543672802803,0.824003915554663,0.424,0.313,0.359231579910891,0.111,"MA1632.1","ATF2"
"MA0608.1",0.000482832173214067,-0.208360312459313,0.648,0.727,0.360192801217694,-0.079,"MA0608.1","Creb3l2"
"MA0048.2",0.000494441047492152,0.440705876863941,0.552,0.398,0.368853021429146,0.154,"MA0048.2","NHLH1"
"MA0749.1",0.000580437751327771,-0.308786904534443,0.592,0.683,0.433006562490517,-0.0910000000000001,"MA0749.1","ZBED1"
"MA0482.2",0.000611291205701106,0.364306519167832,0.784,0.717,0.456023239453025,0.0670000000000001,"MA0482.2","GATA4"
"MA0052.4",0.000614380151289373,0.713480372157179,0.52,0.352,0.458327592861872,0.168,"MA0052.4","MEF2A"
"MA0145.3",0.000620838166597402,0.383030644993739,0.648,0.547,0.463145272281662,0.101,"MA0145.3","TFCP2"
"MA1558.1",0.00065131503753642,-0.0225554556349321,0.992,0.997,0.485881018002169,-0.005,"MA1558.1","SNAI1"
"MA1466.1",0.000654527847437713,-0.217248317947673,0.744,0.812,0.488277774188534,-0.0680000000000001,"MA1466.1","ATF6"
"MA1500.1",0.000674865652970045,0.567932784653012,0.424,0.33,0.503449777115653,0.094,"MA1500.1","HOXB6"
"MA0523.1",0.000739844168666474,0.352981740191874,0.736,0.56,0.55192374982519,0.176,"MA0523.1","TCF7L2"
"MA0465.2",0.000741771030958551,0.824134071566777,0.352,0.242,0.553361189095079,0.11,"MA0465.2","CDX2"
"MA0649.1",0.000758731043807187,-0.319877914847462,0.464,0.601,0.566013358680162,-0.137,"MA0649.1","HEY2"
"MA0596.1",0.000779062044070584,-0.275631052548062,0.608,0.736,0.581180284876656,-0.128,"MA0596.1","SREBF2"
"MA1154.1",0.000810194120189947,1.8650155792714,0.256,0.165,0.604404813661701,0.091,"MA1154.1","ZNF282"
