"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","dpct","gene","motif"
"MA1656.1",0.0543590875626951,0.285823798504288,0.721,0.615,1,0.106,"MA1656.1","ZNF449"
"MA0872.1",0.0555235579442648,-0.219525689734552,0.496,0.547,1,-0.051,"MA0872.1","TFAP2A(var.3)"
"MA1108.2",0.0576085231361875,-1.36742939767024,0.199,0.333,1,-0.134,"MA1108.2","MXI1"
"MA0060.3",0.0579512490886717,-0.714250613152224,0.254,0.278,1,-0.024,"MA0060.3","NFYA"
"MA1602.1",0.0582028197554436,-0.404706897781439,0.404,0.496,1,-0.092,"MA1602.1","ZSCAN29"
"MA0740.1",0.0603863699558212,-0.695478944534397,0.235,0.291,1,-0.056,"MA0740.1","KLF14"
"MA0787.1",0.0619276925511933,-1.41807268163003,0.195,0.299,1,-0.104,"MA0787.1","POU3F2"
"MA1655.1",0.062642642180442,0.341618277961341,0.603,0.483,1,0.12,"MA1655.1","ZNF341"
"MA0493.1",0.062683793837427,0.360294279066048,0.581,0.573,1,0.00800000000000001,"MA0493.1","Klf1"
"MA1479.1",0.0645248446311056,-0.393256333882514,0.316,0.415,1,-0.099,"MA1479.1","DMRTC2"
"MA0621.1",0.0654434885035992,0.239567134545039,0.551,0.491,1,0.0600000000000001,"MA0621.1","mix-a"
"MA0686.1",0.0658190979597723,0.432706226570206,0.812,0.671,1,0.141,"MA0686.1","SPDEF"
"MA0750.2",0.066285470957716,0.167432508911122,0.651,0.607,1,0.044,"MA0750.2","ZBTB7A"
"MA0485.2",0.0680979753159709,-0.424227161079063,0.316,0.406,1,-0.09,"MA0485.2","HOXC9"
"MA0878.2",0.0703034575422254,-0.639451534625801,0.268,0.321,1,-0.053,"MA0878.2","CDX1"
"MA0633.1",0.0710608583607431,-0.432871592378586,0.375,0.453,1,-0.078,"MA0633.1","Twist2"
"MA0070.1",0.0716231298663585,-0.506881377688141,0.268,0.376,1,-0.108,"MA0070.1","PBX1"
"MA0794.1",0.072380571194287,-0.334623905773077,0.39,0.457,1,-0.067,"MA0794.1","PROX1"
"MA0100.3",0.0770640040112723,-0.214973241807138,0.434,0.479,1,-0.045,"MA0100.3","MYB"
"MA0006.1",0.0776610144533033,-0.629904963884017,0.309,0.397,1,-0.088,"MA0006.1","Ahr::Arnt"
"MA0663.1",0.0777020803864352,0.0536837500673966,0.265,0.244,1,0.021,"MA0663.1","MLX"
"MA1113.2",0.0781096308466299,-0.32600756702204,0.408,0.483,1,-0.075,"MA1113.2","PBX2"
"MA0602.1",0.0805107827985929,0.0710432313171856,0.335,0.325,1,0.01,"MA0602.1","Arid5a"
"MA0068.2",0.0817120367512471,0.272397009339451,0.551,0.47,1,0.0810000000000001,"MA0068.2","PAX4"
"MA1577.1",0.0817120367512471,0.272397009339451,0.551,0.47,1,0.0810000000000001,"MA1577.1","TLX2"
"MA0701.2",0.0817120367512471,0.272397009339451,0.551,0.47,1,0.0810000000000001,"MA0701.2","LHX9"
"MA0075.3",0.0817120367512471,0.272397009339451,0.551,0.47,1,0.0810000000000001,"MA0075.3","PRRX2"
"MA1652.1",0.0830435546496149,0.062455373254915,0.713,0.726,1,-0.013,"MA1652.1","ZKSCAN5"
"MA0703.2",0.084756906077362,0.239503590281779,0.504,0.419,1,0.085,"MA0703.2","LMX1B"
"MA1557.1",0.085545362084287,-0.344004053796641,0.404,0.466,1,-0.062,"MA1557.1","SMAD5"
"MA1556.1",0.0875127996095043,-0.0958058220211659,0.592,0.607,1,-0.015,"MA1556.1","RXRG(var.2)"
"MA0704.1",0.0903748054380084,0.221168972978426,0.548,0.457,1,0.091,"MA0704.1","Lhx4"
"MA0116.1",0.0913067842155981,-0.173588891705898,0.522,0.556,1,-0.034,"MA0116.1","Znf423"
"MA0903.1",0.0924578786814023,-0.208373542334726,0.496,0.547,1,-0.051,"MA0903.1","HOXB3"
"MA0597.1",0.093522956689018,0.243993962832389,0.651,0.551,1,0.1,"MA0597.1","THAP1"
"MA0611.1",0.0940170817071555,-0.654640880572575,0.268,0.329,1,-0.061,"MA0611.1","Dux"
"MA0629.1",0.095077075817444,-0.683719106280666,0.265,0.346,1,-0.081,"MA0629.1","Rhox11"
"MA0907.1",0.0957736183585832,0.157475824136943,0.485,0.423,1,0.062,"MA0907.1","HOXC13"
"MA0138.2",0.0958794727478684,0.250126986076104,0.5,0.436,1,0.064,"MA0138.2","REST"
"MA0071.1",0.0962005203164489,0.318670770012661,0.515,0.402,1,0.113,"MA0071.1","RORA"
"MA1644.1",0.0972847435947722,-0.684167874390365,0.254,0.303,1,-0.049,"MA1644.1","NFYC"
"MA0728.1",0.0973447709226425,-0.0810140644731532,0.599,0.624,1,-0.025,"MA0728.1","Nr2f6(var.2)"
"MA1533.1",0.0975165808097124,0.224717919045644,0.665,0.598,1,0.0670000000000001,"MA1533.1","NR1I2"
"MA1549.1",0.0976521566198955,-1.00110974072219,0.221,0.321,1,-0.1,"MA1549.1","POU6F1(var.2)"
"MA0058.3",0.0990844899308,-0.784328791081429,0.235,0.329,1,-0.094,"MA0058.3","MAX"
"MA0871.2",0.099446635717697,0.0327971932960931,0.246,0.261,1,-0.015,"MA0871.2","TFEC"
"MA1110.1",0.0996623141106023,0.272527487282242,0.893,0.761,1,0.132,"MA1110.1","NR1H4"
"MA0090.3",0.103072386398587,0.253935000732554,0.893,0.842,1,0.051,"MA0090.3","TEAD1"
"MA0122.3",0.107839881200963,-0.232010869177314,0.412,0.47,1,-0.058,"MA0122.3","Nkx3-2"
"MA0088.2",0.108764690665489,-0.262487547528553,0.353,0.415,1,-0.062,"MA0088.2","ZNF143"
"MA0732.1",0.110060038284151,0.171939022729155,0.397,0.402,1,-0.005,"MA0732.1","EGR3"
"MA0911.1",0.110511864238628,-0.315924667075745,0.368,0.483,1,-0.115,"MA0911.1","Hoxa11"
"MA0623.2",0.115066328134125,0.152725585477998,0.647,0.534,1,0.113,"MA0623.2","NEUROG1"
"MA1552.1",0.115940853435545,-0.0048794150163356,0.625,0.701,1,-0.076,"MA1552.1","RARB(var.3)"
"MA0131.2",0.117129917213257,-0.468684712539508,0.305,0.415,1,-0.11,"MA0131.2","HINFP"
"MA1570.1",0.119085869044957,0.0308383729257901,0.368,0.35,1,0.018,"MA1570.1","TFAP4(var.2)"
"MA1473.1",0.122282987727834,-0.600206412812812,0.265,0.303,1,-0.038,"MA1473.1","CDX4"
"MA0160.1",0.122912632444491,0.344460320409391,0.812,0.748,1,0.0640000000000001,"MA0160.1","NR4A2"
"MA0683.1",0.123156326657364,-0.152806194003787,0.467,0.509,1,-0.042,"MA0683.1","POU4F2"
"MA0592.3",0.124880477376281,0.312428869983826,0.809,0.692,1,0.117,"MA0592.3","ESRRA"
"MA0718.1",0.126238108406011,-0.159204858316403,0.482,0.538,1,-0.056,"MA0718.1","RAX"
"MA1146.1",0.126803373667146,0.265042436402616,0.783,0.697,1,0.0860000000000001,"MA1146.1","NR1H4::RXRA"
"MA0815.1",0.127027857116849,-0.114794457075904,0.537,0.543,1,-0.00600000000000001,"MA0815.1","TFAP2C(var.3)"
"MA0472.2",0.127714142024697,-0.405502611038082,0.287,0.308,1,-0.021,"MA0472.2","EGR2"
"MA0630.1",0.128289026058791,0.236092140436194,0.537,0.457,1,0.08,"MA0630.1","SHOX"
"MA0716.1",0.128289026058791,0.236092140436194,0.537,0.457,1,0.08,"MA0716.1","PRRX1"
"MA0746.2",0.129946686866449,0.253433161808537,0.364,0.312,1,0.052,"MA0746.2","SP3"
"MA0773.1",0.136204232858485,0.345460504808626,0.603,0.534,1,0.069,"MA0773.1","MEF2D"
"MA0777.1",0.136444323360691,0.147335897491634,0.496,0.466,1,0.03,"MA0777.1","MYBL2"
"MA1506.1",0.138272430880782,-0.407472030841885,0.338,0.389,1,-0.051,"MA1506.1","HOXD10"
"MA1463.1",0.145033294518142,0.225398456282584,0.526,0.509,1,0.017,"MA1463.1","ARGFX"
"MA0715.1",0.146183900136788,-0.552648025570829,0.272,0.359,1,-0.087,"MA0715.1","PROP1"
"MA0697.1",0.149448018879723,-0.167630329961568,0.452,0.577,1,-0.125,"MA0697.1","ZIC3"
"MA0800.1",0.15027093801075,-0.522342198412066,0.335,0.427,1,-0.092,"MA0800.1","EOMES"
"MA0874.1",0.15071285917932,-0.150809445513133,0.548,0.594,1,-0.0459999999999999,"MA0874.1","Arx"
"MA1478.1",0.152764406968098,-0.307475163711411,0.379,0.432,1,-0.053,"MA1478.1","DMRTA2"
"MA1471.1",0.15616266416586,-0.0601873223623554,0.54,0.509,1,0.031,"MA1471.1","BARX2"
"MA0141.3",0.156539772424475,0.290896470321038,0.86,0.756,1,0.104,"MA0141.3","ESRRB"
"MA0755.1",0.159095220522721,-0.36642408921779,0.364,0.436,1,-0.072,"MA0755.1","CUX2"
