"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","dpct","gene","motif"
"MA0911.1",0.00963759559537728,-0.544206099779713,0.408,0.549,1,-0.141,"MA0911.1","Hoxa11"
"MA0528.2",0.0100848585365245,0.286948542880819,0.882,0.885,1,-0.003,"MA0528.2","ZNF263"
"MA1118.1",0.0103642769452583,0.876617783536138,0.434,0.303,1,0.131,"MA1118.1","SIX1"
"MA0164.1",0.0109603972379474,0.472064685151781,0.618,0.426,1,0.192,"MA0164.1","Nr2e3"
"MA1656.1",0.0114700469150779,0.368443147987341,0.868,0.689,1,0.179,"MA1656.1","ZNF449"
"MA1112.2",0.0117540059674972,0.427324915690006,0.803,0.705,1,0.0980000000000001,"MA1112.2","NR4A1"
"MA0846.1",0.0117941009993191,0.312040491677947,0.961,0.926,1,0.0349999999999999,"MA0846.1","FOXC2"
"MA1472.1",0.011810352866216,-0.314543700689815,0.671,0.795,1,-0.124,"MA1472.1","BHLHA15(var.2)"
"MA1464.1",0.0118310171095217,1.87057889767053,0.329,0.262,1,0.067,"MA1464.1","ARNT2"
"MA0691.1",0.0120547779457777,-0.298688087308441,0.711,0.803,1,-0.0920000000000001,"MA0691.1","TFAP4"
"MA1573.1",0.0122136525379429,-0.303913845026072,0.632,0.754,1,-0.122,"MA1573.1","THAP11"
"MA1563.1",0.0124088379502236,-3.05580442262492,0.211,0.336,1,-0.125,"MA1563.1","SOX18"
